Photo,Caption
P199110001547.jpg,an old black and white photo of three people
P20021071075-015.jpg,a large group of people sitting in chairs on the grass
P199110002926.jpg,a black and white photo of four people in suits and hats
P19770285078.jpg,an old man wearing a hat and suit
P199110001974.jpg,an old black and white photo of a family posing for a picture
P199110001555.jpg,an old black and white photo of four people
P199110003792.jpg,three girls in dresses posing for a photo
P199110004448.jpg,a group of people standing outside of a church
P199110003496.jpg,two women in black and white standing next to each other
P199110003497.jpg,two children in black and white photos
P199110004449.jpg,a group of people standing outside of a church
P19911000378.jpg,three women and a child standing on the steps of a house
P199110003495.jpg,two boys in suits and ties are shown in black and white
P20061071200.jpg,a black and white photo of a casket with flowers
P199110003682.jpg,a black and white photo of three people sitting on steps
P19752912033.jpg,a black and white photo of two children sitting on a bench
P199110001330.jpg,a black and white photo of two men in suits
P20061071198.jpg,a black and white photo of a funeral with flowers
P19911000747.jpg,a black and white photo of three people sitting on a chair
P199110001327.jpg,a black and white photo of a family
P19752912020.jpg,a man and woman standing next to a table holding a trophy
P199110001508.jpg,an old black and white photo of two people standing in the woods
P199110003519.jpg,an old photo of three people in suits
P199110004051.jpg,an old photo of a family posing for a picture
P199110002555.jpg,three men in jackets and hats holding birds
P199110001936.jpg,an old black and white photo of a family posing for a picture
P19752390599.jpg,a woman sitting in a chair with a nurse
P199110001271.jpg,an old black and white photo of three people
P199110003498.jpg,an old black and white photo of three women and a child
P199110003473.jpg,a woman and a boy standing in front of a painting
P1991107619321.jpg,three different images of a man holding a knife
P1991107619320.jpg,three pictures of a woman in a room with a knife
P199110001377.jpg,an old black and white photo of three people
P199110001198.jpg,an old photo of a man and woman standing together
P199110002888.jpg,a black and white photo of four people in military uniforms
P19770285076.jpg,a black and white photo of a woman in a white shirt
P19770285077.jpg,an old man with a mustache sitting in front of other men
